Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId,Path
25,25,5,5,20,20,13,Train/13/00013_00000_00000.png
26,27,5,6,21,22,13,Train/13/00013_00000_00001.png
26,28,5,6,21,22,13,Train/13/00013_00000_00002.png
28,28,5,5,23,23,13,Train/13/00013_00000_00003.png
29,29,5,5,23,23,13,Train/13/00013_00000_00004.png
29,29,5,5,24,24,13,Train/13/00013_00000_00005.png
27,30,5,6,22,25,13,Train/13/00013_00000_00006.png
29,30,5,6,24,25,13,Train/13/00013_00000_00007.png
31,31,5,6,26,26,13,Train/13/00013_00000_00008.png
33,31,6,5,28,26,13,Train/13/00013_00000_00009.png
35,33,5,5,29,28,13,Train/13/00013_00000_00010.png
38,37,6,6,32,31,13,Train/13/00013_00000_00011.png
37,37,5,6,32,32,13,Train/13/00013_00000_00012.png
38,38,5,5,33,32,13,Train/13/00013_00000_00013.png
40,40,5,6,34,35,13,Train/13/00013_00000_00014.png
41,39,5,5,35,34,13,Train/13/00013_00000_00015.png
42,40,5,5,37,35,13,Train/13/00013_00000_00016.png
46,43,6,5,40,37,13,Train/13/00013_00000_00017.png
47,45,6,6,42,40,13,Train/13/00013_00000_00018.png
49,48,5,6,43,42,13,Train/13/00013_00000_00019.png
53,51,6,6,48,46,13,Train/13/00013_00000_00020.png
55,51,6,6,49,46,13,Train/13/00013_00000_00021.png
56,53,6,6,51,48,13,Train/13/00013_00000_00022.png
58,56,6,5,53,50,13,Train/13/00013_00000_00023.png
60,58,5,5,55,53,13,Train/13/00013_00000_00024.png
67,62,6,6,61,57,13,Train/13/00013_00000_00025.png
73,70,7,6,66,64,13,Train/13/00013_00000_00026.png
79,75,7,7,72,69,13,Train/13/00013_00000_00027.png
87,83,8,8,80,76,13,Train/13/00013_00000_00028.png
95,89,8,8,86,81,13,Train/13/00013_00000_00029.png
26,29,5,6,20,24,13,Train/13/00013_00001_00000.png
26,30,5,6,21,25,13,Train/13/00013_00001_00001.png
26,30,5,6,21,25,13,Train/13/00013_00001_00002.png
28,30,6,5,23,25,13,Train/13/00013_00001_00003.png
29,32,5,6,23,26,13,Train/13/00013_00001_00004.png
32,32,6,6,27,27,13,Train/13/00013_00001_00005.png
32,33,5,5,27,28,13,Train/13/00013_00001_00006.png
33,35,5,6,28,30,13,Train/13/00013_00001_00007.png
33,33,6,5,28,28,13,Train/13/00013_00001_00008.png
33,35,5,5,28,29,13,Train/13/00013_00001_00009.png
36,37,6,6,31,32,13,Train/13/00013_00001_00010.png
39,41,5,6,34,36,13,Train/13/00013_00001_00011.png
40,41,5,5,35,36,13,Train/13/00013_00001_00012.png
40,42,5,5,35,36,13,Train/13/00013_00001_00013.png
44,45,5,6,39,40,13,Train/13/00013_00001_00014.png
45,45,5,6,40,40,13,Train/13/00013_00001_00015.png
49,48,6,5,44,42,13,Train/13/00013_00001_00016.png
50,50,5,6,45,45,13,Train/13/00013_00001_00017.png
53,52,5,5,47,46,13,Train/13/00013_00001_00018.png
57,55,6,6,51,50,13,Train/13/00013_00001_00019.png
58,59,6,6,52,53,13,Train/13/00013_00001_00020.png
61,61,6,5,56,55,13,Train/13/00013_00001_00021.png
68,64,6,5,62,59,13,Train/13/00013_00001_00022.png
74,72,7,7,68,66,13,Train/13/00013_00001_00023.png
82,79,8,7,75,72,13,Train/13/00013_00001_00024.png
86,84,7,8,79,77,13,Train/13/00013_00001_00025.png
97,94,8,9,88,85,13,Train/13/00013_00001_00026.png
106,98,9,8,96,89,13,Train/13/00013_00001_00027.png
120,108,11,9,110,98,13,Train/13/00013_00001_00028.png
131,118,12,10,120,108,13,Train/13/00013_00001_00029.png
38,36,6,5,33,31,13,Train/13/00013_00002_00000.png
38,36,6,5,33,31,13,Train/13/00013_00002_00001.png
39,36,6,5,33,31,13,Train/13/00013_00002_00002.png
38,36,5,5,33,31,13,Train/13/00013_00002_00003.png
40,38,6,5,34,32,13,Train/13/00013_00002_00004.png
41,39,6,6,35,34,13,Train/13/00013_00002_00005.png
41,39,5,5,36,34,13,Train/13/00013_00002_00006.png
42,39,6,5,37,34,13,Train/13/00013_00002_00007.png
42,39,6,5,37,33,13,Train/13/00013_00002_00008.png
42,39,6,6,37,34,13,Train/13/00013_00002_00009.png
43,41,5,6,38,36,13,Train/13/00013_00002_00010.png
45,43,6,6,40,38,13,Train/13/00013_00002_00011.png
45,44,6,5,40,39,13,Train/13/00013_00002_00012.png
45,44,6,5,40,39,13,Train/13/00013_00002_00013.png
45,44,6,5,40,39,13,Train/13/00013_00002_00014.png
44,44,5,5,39,39,13,Train/13/00013_00002_00015.png
48,48,6,5,43,43,13,Train/13/00013_00002_00016.png
48,50,5,6,42,44,13,Train/13/00013_00002_00017.png
49,51,5,6,44,45,13,Train/13/00013_00002_00018.png
51,52,5,6,46,47,13,Train/13/00013_00002_00019.png
52,52,5,5,47,47,13,Train/13/00013_00002_00020.png
54,54,5,5,48,49,13,Train/13/00013_00002_00021.png
55,56,5,5,50,51,13,Train/13/00013_00002_00022.png
58,59,5,6,52,54,13,Train/13/00013_00002_00023.png
60,60,5,5,55,55,13,Train/13/00013_00002_00024.png
62,63,5,5,57,58,13,Train/13/00013_00002_00025.png
64,69,5,7,59,62,13,Train/13/00013_00002_00026.png
70,71,7,6,63,64,13,Train/13/00013_00002_00027.png
70,73,6,6,64,67,13,Train/13/00013_00002_00028.png
75,80,7,7,69,72,13,Train/13/00013_00002_00029.png
26,26,6,5,21,21,13,Train/13/00013_00003_00000.png
27,28,5,5,22,23,13,Train/13/00013_00003_00001.png
28,28,6,5,23,23,13,Train/13/00013_00003_00002.png
30,30,6,5,25,25,13,Train/13/00013_00003_00003.png
30,30,6,5,25,25,13,Train/13/00013_00003_00004.png
30,31,5,5,25,26,13,Train/13/00013_00003_00005.png
32,35,5,6,27,30,13,Train/13/00013_00003_00006.png
34,36,5,5,29,31,13,Train/13/00013_00003_00007.png
35,38,5,5,30,32,13,Train/13/00013_00003_00008.png
39,39,6,6,34,34,13,Train/13/00013_00003_00009.png
41,41,6,6,36,36,13,Train/13/00013_00003_00010.png
43,42,6,5,38,37,13,Train/13/00013_00003_00011.png
50,45,5,5,45,40,13,Train/13/00013_00003_00012.png
53,48,6,6,47,43,13,Train/13/00013_00003_00013.png
57,54,5,6,52,49,13,Train/13/00013_00003_00014.png
60,58,5,6,55,53,13,Train/13/00013_00003_00015.png
65,62,6,6,59,57,13,Train/13/00013_00003_00016.png
74,69,6,7,68,63,13,Train/13/00013_00003_00017.png
81,73,8,6,74,66,13,Train/13/00013_00003_00018.png
84,75,7,6,77,69,13,Train/13/00013_00003_00019.png
92,83,8,7,84,76,13,Train/13/00013_00003_00020.png
97,89,8,7,89,81,13,Train/13/00013_00003_00021.png
106,95,9,8,97,87,13,Train/13/00013_00003_00022.png
112,106,10,10,103,97,13,Train/13/00013_00003_00023.png
120,110,11,10,110,101,13,Train/13/00013_00003_00024.png
131,119,12,11,120,109,13,Train/13/00013_00003_00025.png
144,129,12,11,132,118,13,Train/13/00013_00003_00026.png
167,146,15,12,152,134,13,Train/13/00013_00003_00027.png
190,168,16,14,173,154,13,Train/13/00013_00003_00028.png
224,201,19,18,205,184,13,Train/13/00013_00003_00029.png
27,25,6,5,22,20,13,Train/13/00013_00004_00000.png
30,27,5,6,25,22,13,Train/13/00013_00004_00001.png
31,28,5,6,26,22,13,Train/13/00013_00004_00002.png
31,28,5,6,26,23,13,Train/13/00013_00004_00003.png
33,27,6,5,28,21,13,Train/13/00013_00004_00004.png
35,28,6,5,30,23,13,Train/13/00013_00004_00005.png
33,29,5,6,28,24,13,Train/13/00013_00004_00006.png
32,30,5,6,27,24,13,Train/13/00013_00004_00007.png
34,31,6,6,29,26,13,Train/13/00013_00004_00008.png
34,32,5,6,29,27,13,Train/13/00013_00004_00009.png
36,34,5,6,31,29,13,Train/13/00013_00004_00010.png
37,35,6,6,32,30,13,Train/13/00013_00004_00011.png
38,34,6,5,33,29,13,Train/13/00013_00004_00012.png
40,37,6,6,35,32,13,Train/13/00013_00004_00013.png
39,37,5,5,34,32,13,Train/13/00013_00004_00014.png
43,40,6,6,38,34,13,Train/13/00013_00004_00015.png
44,40,6,6,39,35,13,Train/13/00013_00004_00016.png
47,40,5,5,42,35,13,Train/13/00013_00004_00017.png
47,42,5,5,42,37,13,Train/13/00013_00004_00018.png
51,47,5,6,46,41,13,Train/13/00013_00004_00019.png
57,48,5,5,51,43,13,Train/13/00013_00004_00020.png
60,52,6,6,55,47,13,Train/13/00013_00004_00021.png
61,55,5,6,56,50,13,Train/13/00013_00004_00022.png
70,60,7,5,64,54,13,Train/13/00013_00004_00023.png
75,63,7,5,69,57,13,Train/13/00013_00004_00024.png
83,72,7,7,76,66,13,Train/13/00013_00004_00025.png
